N,s_gap,s_gap0,s_rms,sky,s_tempel,m_gap,m_rms
7,248.97168540886454,249.07207819290105,238.75543217177372,0.4796287415531857,238.673631,56412314000526.31,51915857297236.59
42,648.4991015703656,648.5376509791636,650.8783234997163,0.6506454486071823,650.607788,509350613752015.75,513065466052665.06
18,845.3610951473817,845.3906677913949,785.9428352201154,0.30552911908727676,778.004717,407214416633579.4,352419957469723.56
6,259.8093506912027,259.9055572829953,237.65186110414575,0.26888456106715364,237.436911,34587769098125.67,28984715164747.08
14,656.7073661725257,656.7454337757177,608.3595924877911,0.460221045232127,585.923833,370467148288886.5,318341116442266.4
21,519.9548475591158,520.0029264342878,503.1452505418034,0.3814754316000216,502.823648,193544342709975.16,181338219706253.06
12,345.02768418621895,345.10013453330504,317.552451465672,0.32766276640313363,317.247662,73835772424373.69,62635988759631.21
7,331.92140782147686,331.99671831238203,284.55196671438716,0.2592083627913326,284.410684,54205315191947.5,39945438488090.11
10,681.0834948415593,681.1202000716117,620.6577545632551,0.5374558531366924,620.63402,464448531108758.44,386304899743059.3
8,628.2189088221943,628.2587026072528,544.9805629821842,0.2431778579856185,544.944891,180221284265104.88,135969106068957.25
7,596.8386170793561,596.8805029796151,560.6047320975086,0.7049013027524875,560.31753,467745644504168.25,413117927481698.7
9,516.6599249062782,516.7083103687816,474.03585053336207,0.32971593999082777,482.873841,165402862875467.72,139449979986377.5
14,936.8684268256671,936.8951110891766,878.781907270828,0.3945702089816227,878.533792,643477278826436.0,566727327524775.1
14,473.0484921553372,473.1013379081041,466.67007302102553,0.5354546571704311,466.546162,224584145284623.72,218616591023284.28
12,746.3458350125236,746.3793307967076,704.2037747465533,0.640282941035869,703.751457,662527147152717.9,590358890579045.4
18,686.2775279773805,686.3139554218202,672.694034054405,0.5149245259749585,672.220298,451897297256321.4,434333821165391.7
11,588.9046643317148,588.947114494714,559.1708495922868,0.6185868220344127,558.624246,400167608320237.4,361097797971391.25
6,353.9947399013836,354.0653553764449,301.7642476189742,0.41372582200451447,301.701997,97890754386412.92,71336670073035.89
5,492.4573461791584,492.50810938076893,401.4208653708781,0.23830382801244918,401.47022,109014319126426.25,72698029895373.06
11,1105.1768386928793,1105.1994592756487,1019.7419118309391,0.18957721260052068,978.569036,431636245259508.8,367985940972739.9
14,811.1275649683821,811.1583856754098,751.8944089152279,0.6449902793735283,751.460759,787209509109798.8,677240541232810.1
11,781.4964838832368,781.528473135728,738.2827411527271,0.5834612832748207,737.705013,661943083901410.0,591288665338596.4
6,631.820549159718,631.8601161178696,558.2284070215654,0.23605407908202217,557.682667,176982187121989.72,138458363896013.77
13,553.3841987830025,553.4293735091277,511.64676146314974,0.25243163357012116,492.406625,145442115641435.53,124503153151403.77
6,560.7004009185024,560.7449862372104,469.6324894514364,0.43364203573533433,469.662931,255260792625383.78,179606058175988.47
7,282.5596933177811,282.6481563496188,253.23486864059694,0.28649544468344923,253.054916,43501661350722.29,35007863146837.406
5,424.62437411055515,424.6832455946204,347.8755771312693,0.32901308107445826,347.63368,111876038010493.94,75355386350477.98
6,462.9535269557705,463.00752490730355,386.49805984094695,0.59836491101608,386.40075,240240952844012.88,167955708635489.47
7,363.33039687622227,363.3991982575542,326.6908376000417,0.30733285635230134,326.528744,76770423430160.61,62183722407404.484
6,319.07585341822306,319.15419507593407,268.5032547987958,0.30745994181818054,268.160444,59367490854395.81,42167217887346.29
5,401.0827703663362,401.1450967975742,354.2858332983665,0.34168043165600154,353.934768,103728353649551.08,81114036871402.33
5,658.9572944497476,658.9952320833067,541.4522135931446,0.3338273302816046,541.080545,271276058071177.66,183749769752257.22
18,537.3558854559025,537.4024075440088,504.54227993553127,0.5857914110266058,504.385566,316153679428013.56,279005917850864.44
8,582.0333240491817,582.076275331455,529.5279829453157,0.31372146016481445,529.095467,199391553939468.1,165317032479896.7
8,1205.7927336817013,1205.8134667516324,1059.9034382975221,0.32141939845350476,1059.363038,866852657892245.5,670678220289737.8
7,385.9894442431232,386.05420742055793,345.62554027796966,0.4791833012329032,345.442256,134416093466167.97,107985550799883.36
10,659.4232954842826,659.4612063096292,598.7957563244948,0.6405666854544448,598.573803,518425153880627.3,428173833198158.3
32,771.9513350718239,771.98371985371,745.7592837349468,0.8259906222389343,745.399045,913025355240110.5,852119158779701.2
12,883.1625581361278,883.1908650419508,808.1828501967132,0.6293382572709129,807.467601,910528003314277.0,762730083416682.5
5,605.7897118943196,605.8309789347213,487.7400286290059,0.3728059348574904,487.340729,256156383136981.44,166657088893444.72
6,585.4613195835517,585.5040193956944,535.0412965434786,0.301806130745253,534.621303,194131199554526.75,162393085581124.28
6,545.6436736875974,545.6894892109406,477.7572055749254,0.47216186221210993,477.712589,263143249704621.1,202172896040371.0
23,771.1919922928383,771.2244089605808,742.443846641342,0.5616620923616038,742.11816,620833093866787.2,575752433547162.4
18,1009.6369169429026,1009.6616780159429,967.8219301038001,0.47484894359009133,942.579782,897870693635620.5,825038603905766.4
10,928.650866810863,928.6777871945507,851.3897935601891,0.6615014040394838,851.181294,1058189830605155.5,889437683925333.0
5,706.9627872861943,706.9981489420356,592.519974317178,0.4713557440237216,591.936775,439082525823239.6,309359337441123.9
17,607.2720801196016,607.3132464328338,573.7823149925633,0.5441064065402962,573.574425,374497993082410.8,334654918500281.56
7,409.253478289465,409.3145605668403,364.38730958396764,0.42909319042083094,345.346691,135303675727989.53,107485174194072.97
15,292.00611734311786,292.09171944066253,306.548249651023,0.4500879424004175,306.422068,72656623695322.69,80004979488753.17
10,407.9629961678601,408.0242716337564,370.4573285034446,0.23956768824075292,396.400273,75460153339816.16,62328899220620.05
11,316.3978628637935,316.47686744022207,302.4832760127105,0.3134788485979575,302.383534,59516576841813.91,54439823692692.31
6,257.7203346903442,257.81732081631566,227.23114816870734,0.41233396610994816,227.146936,52002993403613.01,40515894943412.83
8,635.3840938257836,635.4234388868671,557.8467980511572,0.3296259878722542,557.523865,249212717960207.16,192510673409424.22
