ms,lp,al,be
1.341708999999999996e+01,-2.974898599999999949e+00,-4.451706699999999906e-01,6.976945300000000350e-01
1.342741999999999969e+01,-3.014363599999999810e+00,-3.761409800000000136e-01,7.090048500000000198e-01
1.342494800000000055e+01,-3.006129800000000074e+00,-3.857458500000000012e-01,7.174387399999999637e-01
1.336647400000000019e+01,-2.984140599999999921e+00,-2.762396100000000243e-01,7.067665100000000145e-01
1.340171899999999994e+01,-3.004994899999999802e+00,-2.893861799999999929e-01,7.218412100000000109e-01
1.321382599999999918e+01,-2.940372500000000056e+00,-2.801432400000000156e-01,6.270933600000000441e-01
1.331564999999999976e+01,-2.970841200000000182e+00,-2.392619099999999943e-01,6.888104099999999841e-01
1.339917200000000008e+01,-2.982746399999999909e+00,-4.407681900000000041e-01,6.984816700000000544e-01
1.343587199999999982e+01,-2.977977800000000119e+00,-4.645264000000000060e-01,6.848174700000000392e-01
1.346139999999999937e+01,-3.024913699999999928e+00,-4.393604199999999738e-01,7.135156599999999960e-01
1.345005300000000048e+01,-3.022619300000000120e+00,-4.136067700000000125e-01,7.293389900000000203e-01
1.346232700000000015e+01,-3.019430999999999976e+00,-4.430017199999999877e-01,7.304262500000000546e-01
1.347575299999999920e+01,-3.018470199999999881e+00,-5.017834700000000092e-01,7.015607600000000055e-01
1.348640999999999934e+01,-3.013417399999999802e+00,-5.144750599999999841e-01,7.245208300000000046e-01
1.350171699999999930e+01,-3.017732000000000081e+00,-4.974671299999999796e-01,7.262118300000000026e-01
1.327529299999999957e+01,-2.950537600000000094e+00,-2.616494799999999898e-01,6.724155499999999730e-01
1.322503099999999954e+01,-2.939043100000000130e+00,-3.089851900000000207e-01,6.283137300000000147e-01
1.322340900000000019e+01,-2.938578300000000088e+00,-2.904367900000000002e-01,6.244696199999999475e-01
1.316746599999999923e+01,-2.929420100000000193e+00,-2.389275100000000096e-01,6.300990100000000149e-01
1.316370000000000040e+01,-2.931473500000000065e+00,-2.422452999999999967e-01,6.366324899999999953e-01
1.316750299999999996e+01,-2.934868799999999833e+00,-2.453345000000000109e-01,6.291424599999999590e-01
1.323951399999999978e+01,-2.943783600000000167e+00,-2.439992300000000114e-01,6.709135499999999697e-01
1.325062299999999915e+01,-2.953308900000000126e+00,-2.583359499999999809e-01,6.491210099999999983e-01
1.336846700000000077e+01,-2.966230400000000156e+00,-3.992780400000000007e-01,6.661208499999999866e-01
1.337817300000000031e+01,-2.980420200000000186e+00,-3.593129099999999854e-01,6.840093999999999896e-01
1.336422699999999963e+01,-2.979813399999999834e+00,-3.673848800000000248e-01,6.898969400000000141e-01
