N,ntracks,q16,q50,q84,sigma_log10M
3,677,-0.8515614484507779,-0.17079849409160985,0.29803569262705154,0.5747985705389147
4,677,-0.6255924425619532,-0.1100957992027034,0.24383351847931206,0.4347129805206327
5,677,-0.4487717324583776,-0.08224413567376665,0.20309902237693941,0.3259353774176585
6,677,-0.3994808718190167,-0.06985347391963437,0.1894968497073608,0.29448886076318875
7,677,-0.3303212600463594,-0.06381590348986244,0.16948577427399764,0.24990351716017853
8,677,-0.3071316879414377,-0.06111294233502029,0.13894384194849607,0.22303776494496688
9,677,-0.2775647432073889,-0.05260537899334672,0.15006118662483933,0.21381296491611412
10,677,-0.2603172460786688,-0.042710251318684556,0.12867631868845866,0.19449678238356372
11,677,-0.2215086274704681,-0.04146075534238669,0.12658988200446925,0.17404925473746868
12,677,-0.20060214643350555,-0.03486460047933804,0.11002050689361316,0.15531132666355935
13,677,-0.1858685484779457,-0.022535167976137416,0.11560879605604177,0.15073867226699372
14,677,-0.1760088447415506,-0.02319499068198283,0.10747993446602572,0.14174438960378816
15,677,-0.17383786229847048,-0.019930811445563634,0.10232114441521697,0.1380795033568437
16,677,-0.14878433292706866,-0.012122269859148105,0.09552030627675764,0.12215231960191315
17,677,-0.13146779998498126,-0.009143706157919596,0.08937930760258773,0.11042355379378449
18,677,-0.1208081417533807,-0.007729269420904572,0.07907883557366127,0.09994348866352099
19,677,-0.11509227694893034,-0.004999457818973596,0.06917352289800974,0.09213289992347004
20,677,-0.10625459384893823,-0.004265198143428961,0.06582406840921282,0.08603933112907552
21,677,-0.09935449084398044,0.0,0.06624304105700497,0.08279876595049271
22,627,-0.09368645981303268,0.0,0.06507547294219793,0.0793809663776153
23,579,-0.09492035199108613,0.0,0.05919038288433219,0.07705536743770916
24,531,-0.09359142180395388,0.0,0.06391329387318052,0.07875235783856721
25,491,-0.09277961355099221,0.0,0.0645932038370503,0.07868640869402126
26,457,-0.0847746913841722,0.0,0.056617220114328466,0.07069595574925033
27,428,-0.08237859140365343,0.0,0.05886578244277736,0.0706221869232154
28,403,-0.08431737111460434,0.0,0.055312626293156635,0.06981499870388048
29,372,-0.08667388510477793,0.0,0.05102249578348107,0.0688481904441295
30,348,-0.08664386321326105,0.0,0.05237824830023165,0.06951105575674635
31,332,-0.08708023789619225,0.0,0.05183802891962812,0.06945913340791018
32,311,-0.092022058395726,0.0,0.0509946574975444,0.0715083579466352
33,295,-0.08839653603401246,0.0,0.04730941993677167,0.06785297798539207
34,279,-0.07777648403338218,0.0,0.047375883788424875,0.06257618391090353
35,265,-0.0830213892528021,0.0,0.047477456991749885,0.065249423122276
36,250,-0.08776005539291502,0.0,0.046162814115583685,0.06696143475424936
37,240,-0.08495557811569782,0.0,0.03999004283273222,0.06247281047421502
38,225,-0.08655334538444996,0.0,0.04229287949203417,0.06442311243824206
39,219,-0.08456219450300095,-0.002032559628160513,0.03704785904452855,0.06080502677376475
40,209,-0.07159552017534565,-0.0020289874417969145,0.038182031307326836,0.05488877574133624
41,200,-0.07209440430707723,-0.002631584021557387,0.03995695315321696,0.05602567873014709
42,195,-0.0728796957844581,-0.0010358207184193446,0.03848637913783423,0.05568303746114617
43,191,-0.06854812840787439,-0.0042879950913050635,0.03754539372473607,0.05304676106630523
44,186,-0.06960071900589071,-0.008129794778222177,0.03614984110906612,0.052875280057478415
45,179,-0.07516268095334964,-0.005384300610113968,0.032155325396519795,0.053659003174934716
46,169,-0.06718111258572748,-0.008434457691757657,0.03553766224569921,0.051359387415713345
47,162,-0.06240257687797616,-0.004861618070754581,0.03695388885394688,0.04967823286596152
